,GDPC1,FPCPITOTLZGUSA,UNRATE
148,3517.181,1.45797598627791,5.2
160,3493.703,1.07072414764724,6.6
172,3758.147,1.19877334820186,5.8
184,3893.482,1.23966942148753,5.7
196,4135.553,1.27891156462591,5.6
208,4362.111,1.58516926383662,4.9
220,4731.888,3.0150753768844,4.0
232,4870.299,2.77278562259309,3.9
244,5057.553,4.27179615288537,3.7
256,5283.597,5.46238620028745,3.4
268,5300.652,5.83825533848251,3.9
280,5443.619,4.29276668813051,5.9
292,5632.649,3.27227824655283,5.8
304,6058.544,6.17776006377038,4.9
316,6097.258,11.0548048048048,5.1
328,5957.035,9.143146864965352,8.1
340,6323.649,5.74481263549085,7.9
352,6527.703,6.5016839947284,7.5
364,6796.26,7.63096383885606,6.4
376,7238.727,11.2544711292795,5.9
388,7341.557,13.5492019749684,6.3
400,7459.022,10.3347153402771,7.5
412,7295.631,6.13142700027493,8.6
424,7400.066,3.21243523316065,10.4
436,8034.847,4.30053547523429,8.0
448,8400.82,3.54564415209365,7.3
460,8749.127,1.89804772234276,6.7
472,8986.367,3.6645632175169,6.6
484,9367.502,4.07774110744413,5.7
496,9771.725,4.82700303008944,5.4
508,10047.386,5.39795643990325,5.4
520,9951.916,4.23496396453849,6.4
532,10236.435,3.02881967814969,7.3
544,10576.275,2.95165696638559,7.3
556,10939.116,2.60744159215453,6.6
568,11319.951,2.80541968853662,5.6
580,11614.418,2.93120419993441,5.6
592,12115.472,2.33768993730735,5.3
604,12703.742,1.55227909874364,4.6
616,13315.597,2.18802719697358,4.3
628,13878.147,3.37685727149929,4.0
640,14183.12,2.82617111885407,4.2
652,14372.785,1.58603162650601,5.7
664,14614.141,2.27009497336115,5.8
676,15248.68,2.67723669309172,5.7
688,15844.727,3.3927468454955,5.3
700,16353.835,3.22594410070404,4.7
712,16611.69,2.85267248150138,4.6
724,16843.003,3.839100296651,5.0
736,16298.262,-0.355546266299747,7.8
748,16582.71,1.6400434423899,9.8
760,16920.632,3.156841568622,9.1
772,17367.01,2.06933726526067,8.3
784,17662.4,1.46483265562717,8.0
796,17953.974,1.62222297740817,6.6
808,18666.621,0.118627135552451,5.7
820,19001.69,1.26158320570536,4.8
832,19398.343,2.13011000365961,4.7
844,20044.077,2.44258329692817,4.0
856,20431.641,1.81221007526021,4.0
868,20693.238,1.23358439630629,3.6
880,21058.379,4.69785886363742,6.4
892,21903.85,8.00279982052121,4.0
904,22403.435,4.11633838374488,3.4
