UNRATE,FPCPITOTLZGUSA,GDPC1
,,2182.681
,,2176.892
,,2172.432
,,2206.452
3.4,,2239.682
3.8,,
4.0,,
3.9,,2276.69
3.5,,
3.6,,
3.6,,2289.77
3.9,,
3.8,,
3.7,,2292.364
3.8,,
4.0,,
4.3,,2260.807
4.7,,
5.0,,
5.3,,2253.128
6.1,,
6.2,,
6.7,,2276.424
6.8,,
6.6,,
7.9,,2257.352
6.4,,
6.6,,
6.5,,2346.104
6.4,,
6.3,,
5.8,,2417.682
5.5,,
5.4,,
5.0,,2511.127
4.5,,
4.4,,
4.2,,2559.214
4.2,,
4.3,,
3.7,,2593.967
3.4,,
3.4,,
3.1,,2638.898
3.0,,
3.2,,
3.1,,2693.259
3.1,,
3.3,,
3.5,,2699.156
3.5,,
3.1,,
3.2,,2727.954
3.1,,
2.9,,
2.9,,2733.8
3.0,,
3.0,,
3.2,,2753.517
3.4,,
3.1,,
3.0,,2843.941
2.8,,
2.7,,
2.9,,2896.811
2.6,,
2.6,,
2.7,,2919.206
2.5,,
2.5,,
2.6,,2902.785
2.7,,
2.9,,
3.1,,2858.845
3.5,,
4.5,,
4.9,,2845.192
5.2,,
5.7,,
5.9,,2848.305
5.9,,
5.6,,
5.8,,2880.482
6.0,,
6.1,,
5.7,,2936.852
5.3,,
5.0,,
4.9,,3020.746
4.7,,
4.6,,
4.7,,3069.91
4.3,,
4.2,,
4.0,,3111.379
4.2,,
4.1,,
4.3,,3130.068
4.2,,
4.2,,
4.0,,3117.922
3.9,,
4.2,,
4.0,,3143.694
4.3,,
4.3,,
4.4,,3140.874
4.1,,
3.9,,
3.9,,3192.57
4.3,,
4.2,,
4.2,,3213.011
3.9,,
3.7,,
3.9,,3205.97
4.1,,
4.3,,
4.2,,3237.386
4.1,,
4.4,,
4.5,,3203.894
5.1,,
5.2,,
5.8,,3120.724
6.4,,
6.7,,
7.4,,3141.224
7.4,,
7.3,,
7.5,,3213.884
7.4,,
7.1,,
6.7,,3289.032
6.2,,
6.2,,
6.0,,3352.129
5.9,,
5.6,,
5.2,,3427.667
5.1,,
5.0,,
5.1,,3430.057
5.2,,
5.5,,
5.7,,3439.832
5.8,,
5.3,,
5.2,1.45797598627791,3517.181
4.8,,
5.4,,
5.2,,3498.246
5.1,,
5.4,,
5.5,,3515.385
5.6,,
5.5,,
6.1,,3470.278
6.1,,
6.6,,
6.6,1.07072414764724,3493.703
6.9,,
6.9,,
7.0,,3553.021
7.1,,
6.9,,
7.0,,3621.252
6.6,,
6.7,,
6.5,,3692.289
6.1,,
6.0,,
5.8,1.19877334820186,3758.147
5.5,,
5.6,,
5.6,,3792.149
5.5,,
5.5,,
5.4,,3838.776
5.7,,
5.6,,
5.4,,3851.421
5.7,,
5.5,,
5.7,1.23966942148753,3893.482
5.9,,
5.7,,
5.7,,3937.183
5.9,,
5.6,,
5.6,,4023.755
5.4,,
5.5,,
5.5,,4050.147
5.7,,
5.5,,
5.6,1.27891156462591,4135.553
5.4,,
5.4,,
5.3,,4180.592
5.1,,
5.2,,
4.9,,4245.918
5.0,,
5.1,,
5.1,,4259.046
4.8,,
5.0,,
4.9,1.58516926383662,4362.111
5.1,,
4.7,,
4.8,,4417.225
4.6,,
4.6,,
4.4,,4515.427
4.4,,
4.3,,
4.2,,4619.458
4.1,,
4.0,,
4.0,3.0150753768844,4731.888
3.8,,
3.8,,
3.8,,4748.046
3.9,,
3.8,,
3.8,,4788.254
3.8,,
3.7,,
3.7,,4827.537
3.6,,
3.8,,
3.9,2.77278562259309,4870.299
3.8,,
